id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1794964712423088225,"A brisk dawn radiates the relaxed cadence of Kathgodam Railway Station, Uttarakhand, gently tucked between the hills. https://t.co/TFoRP1kXKB",https://x.com/RailMinIndia/status/1794964712423088225,tweet,Ministry of Railways,@RailMinIndia,26,0,333,584,41702,6,2024-05-27 11:01:50,https://pbs.twimg.com/media/GOj-4vkboAAxPy0.jpg,
1794733275447181598,https://t.co/Dm8f8pdRvO,https://x.com/RailMinIndia/status/1794733275447181598,tweet,Ministry of Railways,@RailMinIndia,5,1,238,281,28244,2,2024-05-26 19:42:12,https://pbs.twimg.com/media/GOgsZZ-XoAAnb_y.jpg,
1794721808610111812,https://t.co/rV9Jb2Umm1,https://x.com/RailMinIndia/status/1794721808610111812,tweet,Ministry of Railways,@RailMinIndia,15,2,236,327,32908,3,2024-05-26 18:56:38,https://pbs.twimg.com/media/GOgh96kWsAAw0re.jpg,
1794714519962554759,https://t.co/tEoqTgx7CU,https://x.com/RailMinIndia/status/1794714519962554759,tweet,Ministry of Railways,@RailMinIndia,8,1,106,173,17764,1,2024-05-26 18:27:40,https://pbs.twimg.com/media/GOgbVs3WkAAVUNY.jpg,
1794706863579333016,"Elevate your online unreserved ticketing experience with these advanced features of the #UTS App. 

Download
Play Store: https://t.co/tU157vyuTE

iOS: https://t.co/ScVyEExmjS https://t.co/IsmgYhZtF5",https://x.com/RailMinIndia/status/1794706863579333016,tweet,Ministry of Railways,@RailMinIndia,75,7,326,659,505321,42,2024-05-26 17:57:14,"https://pbs.twimg.com/media/GOgUXyZW8AAQKX2.jpg,https://pbs.twimg.com/media/GOgUXyYWAAALcGF.jpg,https://pbs.twimg.com/media/GOgUXyZWUAInE8U.jpg,https://pbs.twimg.com/media/GOgUXyZWUAEt7AD.jpg",
1794592599879356788,"From serene seafront to marvellous monuments, discover Mumbai. Experience India, the Rail Way! 🚇 https://t.co/XU1851QRfy",https://x.com/RailMinIndia/status/1794592599879356788,tweet,Ministry of Railways,@RailMinIndia,15,1,259,345,34017,4,2024-05-26 10:23:12,https://pbs.twimg.com/media/GOv5TMlXQAI7HID.jpg,https://video.twimg.com/amplify_video/1794591488757633024/vid/avc1/1920x1080/LAu2AGFhu_jMeeBp.mp4?tag=16
1794417382418702599,"रेलवे स्टेशनों पर एक प्लेटफार्म से दूसरे प्लेटफार्म पर जाने के लिए हमेशा फुट ओवरब्रिज (FOB) का उपयोग करें। सुरक्षित रहें, सुखद यात्रा करें।

#ResponsibleRailYatri https://t.co/oqZxuhz3mC",https://x.com/RailMinIndia/status/1794417382418702599,tweet,Ministry of Railways,@RailMinIndia,61,1,285,490,45325,4,2024-05-25 22:46:57,https://pbs.twimg.com/media/GOcNFt3aUAAFCx6.jpg,
1794356033378566372,"Need redressal? Don’t be dismal.
Get instant assistance with #RailMadad https://t.co/SySGDR9GFC",https://x.com/RailMinIndia/status/1794356033378566372,tweet,Ministry of Railways,@RailMinIndia,68,7,258,337,40338,6,2024-05-25 18:43:10,https://pbs.twimg.com/media/GObVTIVWQAAHazr.jpg,
1794244092815409573,"Scooping its way midst a meadow, a train manoeuvres a sharp curve along its track. https://t.co/ngMyy4wNJ7",https://x.com/RailMinIndia/status/1794244092815409573,tweet,Ministry of Railways,@RailMinIndia,45,4,324,634,45013,13,2024-05-25 11:18:21,https://pbs.twimg.com/amplify_video_thumb/1794244021629415424/img/6hZhM7KFlFOX-y_V.jpg,https://video.twimg.com/amplify_video/1794244021629415424/vid/avc1/1920x1080/hIOypp-uluB5ZmRq.mp4?tag=16
1794210354005999777,"मतदान कर राष्ट्रहित में अपनी जिम्मेदारी निभाइए।

#ChunavKaParv #DeshKaGarv #Elections2024 https://t.co/rsl5xWcAe4",https://x.com/RailMinIndia/status/1794210354005999777,tweet,Ministry of Railways,@RailMinIndia,36,2,294,426,33422,2,2024-05-25 09:04:17,https://pbs.twimg.com/media/GOZQze8WEAAvJki.jpg,
